 - Plot 0; - Plot 0; - Plot 1; - Plot 1; - Plot 2; - Plot 2
0;487,9;0;500;0;436
1;490,3;1;500;1;425
2;488,9;2;500;2;432,4
3;484,5;3;500;3;455,1
4;493;4;500;4;413,2
5;491;5;500;5;423,4
6;495,4;6;500;6;402,1
7;488,1;7;500;7;438,7
8;491,3;8;500;8;423,4
9;493,9;9;500;9;410,9
10;487,3;10;500;10;444,1
11;486,5;11;500;11;448,6
12;492,7;12;500;12;418,1
13;493,5;13;500;13;414,9
14;486,1;14;500;14;452
15;488;15;500;15;443,1
16;495;16;500;16;408,7
17;496,1;17;500;17;403,7
18;491,2;18;500;18;428,3
19;491,8;19;500;19;425,7
20;492,4;20;500;20;422,9
21;490,3;21;500;21;434,2
22;493,8;22;500;22;416,8
23;497,9;23;500;23;396,6
24;494,6;24;500;24;413,3
25;494;25;500;25;416,7
26;498;26;500;26;397,2
27;496;27;500;27;407,3
28;497,3;28;500;28;400,7
29;494,1;29;500;29;417,1
30;488;30;500;30;448
31;488,3;31;500;31;446,6
32;497,3;32;500;32;402,4
33;494,3;33;500;33;417,5
34;493,9;34;500;34;420
35;495,7;35;500;35;411,2
36;491,1;36;500;36;434,6
37;495,5;37;500;37;413
38;501;38;500;38;385,6
39;497,3;39;500;39;403,8
40;501,8;40;500;40;381,7
41;497;41;500;41;405,5
42;495,5;42;500;42;413,4
43;494,1;43;500;43;420,2
44;490,2;44;500;44;440,4
45;493,5;45;500;45;424,4
46;489,8;46;500;46;443,1
47;495,6;47;500;47;414,6
48;496,9;48;500;48;408,5
49;493,8;49;500;49;423,7
50;496,7;50;500;50;409,6
51;498,2;51;500;51;402,4
52;496;52;500;52;413,5
53;500,4;53;500;53;391,6
54;497,1;54;500;54;408,2
55;495,2;55;500;55;417,9
56;485,8;56;500;56;464,9
57;495,2;57;500;57;419
58;490,7;58;500;58;441,6
59;493,8;59;500;59;426,2
60;495,7;60;500;60;417,2
61;498,8;61;500;61;401,9
62;492,5;62;500;62;433,4
63;492,7;63;500;63;433,1
64;495,3;64;500;64;420,1
65;493,9;65;500;65;427,6
66;498,8;66;500;66;403,5
67;493,9;67;500;67;427,7
68;495;68;500;68;422,5
69;494,1;69;500;69;427,3
