 - Plot 0; - Plot 0; - Plot 1; - Plot 1; - Plot 2; - Plot 2
481;198,6;481;200;481;383,9
482;201,6;482;200;482;368,7
483;200,5;483;200;483;374
484;203,5;484;200;484;358,7
485;200,7;485;200;485;372,6
486;200,7;486;200;486;372,7
487;199,1;487;200;487;380,6
488;197,9;488;200;488;386,9
489;199,5;489;200;489;379
490;206,7;490;200;490;342,1
491;203,3;491;200;491;358,9
492;202,9;492;200;492;360,7
493;201;493;200;493;370
494;198,8;494;200;494;381,3
495;199,2;495;200;495;379
496;193,5;496;200;496;408,5
497;200,6;497;200;497;373
498;204,8;498;200;498;351,1
499;202,3;499;200;499;363,6
500;203,8;500;200;500;355,9
501;200,1;501;200;501;374,1
502;198,4;502;200;502;383
503;204,2;503;200;503;353,2
504;200,1;504;200;504;374
505;199,2;505;200;505;378,5
506;205,4;506;200;506;347,1
507;198,7;507;200;507;380,4
508;200,1;508;200;508;373,7
509;198;509;200;509;384,4
510;204,5;510;200;510;351,5
511;207,6;511;200;511;335
512;195,2;512;200;512;397,6
513;193,3;513;200;513;407,9
514;200,2;514;200;514;373,5
515;198,6;515;200;515;381,5
516;196,3;516;200;516;393,3
517;200;517;200;517;374,6
518;197;518;200;518;389,9
519;206;519;200;519;344,3
520;190;520;200;520;425,3
521;198;521;200;521;385,8
522;198,9;522;200;522;381,3
523;193,9;523;200;523;406,9
524;198,9;524;200;524;381,9
525;194,8;525;200;525;403,2
526;193,5;526;200;526;410,3
527;196,6;527;200;527;395
528;191,7;528;200;528;420,2
529;204,1;529;200;529;357,8
530;196,8;530;200;530;394,7
531;196,3;531;200;531;397,6
532;197,5;532;200;532;391,6
533;198,7;533;200;533;385,8
534;196,2;534;200;534;398,9
535;203,4;535;200;535;362,6
536;200,2;536;200;536;378,4
537;209,4;537;200;537;331,4
538;205,8;538;200;538;349
539;200,5;539;200;539;375,6
540;204;540;200;540;357,4
541;198,6;541;200;541;384,8
542;200;542;200;542;377,4
543;198,5;543;200;543;385,5
544;205,4;544;200;544;350,4
545;198,1;545;200;545;386,8
546;199,9;546;200;546;378
547;194,4;547;200;547;406,2
548;198;548;200;548;388
549;199,3;549;200;549;381,6
550;200,5;550;200;550;375,7
551;203,4;551;200;551;361
552;193;552;200;552;413,6
553;199,2;553;200;553;382,8
554;203,3;554;200;554;362
555;197,1;555;200;555;393,1
556;200,5;556;200;556;375,9
557;198,5;557;200;557;386,1
558;197,4;558;200;558;392,1
559;199,3;559;200;559;382,8
560;192,3;560;200;560;418,2
561;198,1;561;200;561;389,6
562;196,2;562;200;562;399,5
563;201,3;563;200;563;374
564;206,2;564;200;564;348,8
565;204;565;200;565;359,3
566;203,3;566;200;566;362,4
567;206,6;567;200;567;345,4
568;200;568;200;568;378,3
569;200,6;569;200;569;375,2
570;203,5;570;200;570;360,6
571;201,2;571;200;571;371,7
572;202;572;200;572;367,5
573;203,5;573;200;573;359,5
574;203,5;574;200;574;359,1
575;201,4;575;200;575;369,5
576;207,3;576;200;576;339,5
577;199,7;577;200;577;377,5
578;199,2;578;200;578;380
579;196;579;200;579;396,4
580;196,7;580;200;580;393,2
581;202,9;581;200;581;361,9
582;200,9;582;200;582;371,9
583;204,2;583;200;583;354,9
584;203,5;584;200;584;358
585;206,1;585;200;585;344,6
586;196,2;586;200;586;394,4
587;205,4;587;200;587;347,7
588;197,4;588;200;588;388,2
589;200,3;589;200;589;373,5
590;200,9;590;200;590;370,3
591;198,3;591;200;591;383,8
592;191,5;592;200;592;418,6
593;200,4;593;200;593;373,8
594;196,2;594;200;594;395,2
595;205,4;595;200;595;348,8
596;195,3;596;200;596;399,7
597;200,1;597;200;597;376
598;203,2;598;200;598;360
599;200;599;200;599;375,7
600;200,6;600;200;600;372,7
601;197,8;601;200;601;387,2
602;199,3;602;200;602;379,7
603;198,2;603;200;603;385,5
604;196,3;604;200;604;395,1
605;199,7;605;200;605;378,3
606;197,5;606;200;606;389,4
607;198,1;607;200;607;386,5
608;201,9;608;200;608;367,7
609;204,4;609;200;609;354,8
610;204,8;610;200;610;352,2
611;198,2;611;200;611;385,4
612;201,4;612;200;612;369,2
613;201;613;200;613;371
614;195,9;614;200;614;396,8
615;202,7;615;200;615;362,8
616;195,4;616;200;616;399,4
617;203,7;617;200;617;358
618;203,9;618;200;618;356,3
619;201,2;619;200;619;369,6
620;203,2;620;200;620;359,3
621;200,6;621;200;621;372,2
622;204,5;622;200;622;352,3
623;198,7;623;200;623;381,6
624;197,2;624;200;624;389,1
625;201,3;625;200;625;368,8
626;200;626;200;626;375,4
627;203,1;627;200;627;359,6
628;200,6;628;200;628;371,9
629;195,7;629;200;629;396,6
630;194,9;630;200;630;401,2
631;188,7;631;200;631;433,4
632;198,8;632;200;632;383,2
633;202,3;633;200;633;365,1
634;202,9;634;200;634;362
635;207;635;200;635;340,6
636;199,3;636;200;636;379,3
637;197,3;637;200;637;389,4
638;201,8;638;200;638;367,1
639;197;639;200;639;391,5
640;201,1;640;200;640;370,5
641;198,5;641;200;641;383,7
642;198,3;642;200;642;385,1
643;206,1;643;200;643;345,3
644;202,6;644;200;644;362,7
645;199,4;645;200;645;378,6
646;197,2;646;200;646;389,8
647;197,5;647;200;647;388,8
648;200,7;648;200;648;372,8
649;194,5;649;200;649;404,4
650;196,5;650;200;650;394,5
651;197;651;200;651;392,5
652;200;652;200;652;377,3
653;194;653;200;653;408,1
654;196,6;654;200;654;395,5
655;197,6;655;200;655;390,7
656;198,7;656;200;656;385,4
657;203,4;657;200;657;361,3
658;191,8;658;200;658;420,1
659;193,7;659;200;659;411,4
660;205,4;660;200;660;352,4
661;203;661;200;661;363,9
662;200,8;662;200;662;374,7
663;205,1;663;200;663;352,8
664;204,1;664;200;664;357,4
665;204,5;665;200;665;354,8
666;197,2;666;200;666;392
667;201,8;667;200;667;368,4
668;200,7;668;200;668;374
669;204,6;669;200;669;354
670;202,1;670;200;670;366,5
671;207,6;671;200;671;338
672;203,5;672;200;672;358,1
673;198,3;673;200;673;384,6
674;201,8;674;200;674;366,8
675;199,8;675;200;675;376,6
676;205,5;676;200;676;347,8
677;209,7;677;200;677;325,7
678;202,8;678;200;678;360,1
679;193,7;679;200;679;406,1
680;205,9;680;200;680;344,7
681;206,6;681;200;681;340,4
682;193,3;682;200;682;407,3
683;195,2;683;200;683;398,6
684;200,1;684;200;684;373,8
685;200,4;685;200;685;372,3
686;197,2;686;200;686;388,6
687;197,7;687;200;687;386,3
688;199,2;688;200;688;379,1
689;196,7;689;200;689;391,6
690;195,9;690;200;690;396,5
691;198,1;691;200;691;385,6
692;195,9;692;200;692;396,8
693;201,2;693;200;693;370,2
694;195,2;694;200;694;400,6
695;197,9;695;200;695;387,5
696;204,5;696;200;696;353,9
697;199,8;697;200;697;377,5
698;199,5;698;200;698;379
699;200;699;200;699;376,6
700;199,7;700;200;700;378,2
701;198,4;701;200;701;384,5
702;204,1;702;200;702;355,6
703;195,1;703;200;703;401,4
704;204,8;704;200;704;352,3
705;200,7;705;200;705;372,8
706;200,6;706;200;706;373
707;197,7;707;200;707;388
708;200;708;200;708;376,2
709;204,7;709;200;709;352,5
710;203,5;710;200;710;358
711;204,8;711;200;711;351
712;198,4;712;200;712;383,1
713;201;713;200;713;370,3
714;199,7;714;200;714;376,5
715;200,5;715;200;715;372,8
716;196,2;716;200;716;394,3
717;192,8;717;200;717;412,5
718;196,4;718;200;718;394,7
719;204,2;719;200;719;355
720;192,9;720;200;720;412,2
721;205,1;721;200;721;351,1
722;201,9;722;200;722;366,9
723;207,4;723;200;723;338,4
724;197,2;724;200;724;389,7
725;206,3;725;200;725;343,8
726;205,8;726;200;726;345,3
727;195,9;727;200;727;395,4
728;195,8;728;200;728;396,4
729;195,7;729;200;729;397,5
730;196,5;730;200;730;393,6
731;198,8;731;200;731;382,1
732;199,3;732;200;732;379,6
733;205,3;733;200;733;349,1
734;200,6;734;200;734;372,6
735;197,4;735;200;735;389
736;198,8;736;200;736;382,1
737;200,1;737;200;737;375,5
738;197,3;738;200;738;390,1
739;198,3;739;200;739;384,9
740;192,8;740;200;740;413,1
741;198,1;741;200;741;386,9
742;194,6;742;200;742;405,2
743;198,1;743;200;743;387,7
744;198,1;744;200;744;387,9
745;201;745;200;745;373,2
746;203,4;746;200;746;361
747;203,7;747;200;747;359,1
748;199,7;748;200;748;379,3
749;195,7;749;200;749;399,4
750;200,7;750;200;750;374,2
751;200,1;751;200;751;377,6
752;197,1;752;200;752;392,6
753;203,8;753;200;753;358,9
754;205,4;754;200;754;350,5
755;198,6;755;200;755;384,4
756;196,3;756;200;756;396,3
757;200,1;757;200;757;377,5
758;204,5;758;200;758;355
759;203,9;759;200;759;357,5
760;201,9;760;200;760;367,4
761;207,9;761;200;761;336,7
762;197,9;762;200;762;386,8
763;197,6;763;200;763;388,5
764;205,3;764;200;764;349,5
765;200,5;765;200;765;373,3
766;203,8;766;200;766;356,3
767;200,3;767;200;767;374
768;198,4;768;200;768;383,7
769;204,1;769;200;769;354,8
770;195,8;770;200;770;396,5
771;197;771;200;771;390,8
772;202,3;772;200;772;364
773;199,6;773;200;773;377,9
774;201,1;774;200;774;370,2
775;200,8;775;200;775;371,4
776;201,1;776;200;776;370,2
777;189,8;777;200;777;427,7
778;196,2;778;200;778;395,7
779;191,4;779;200;779;420,6
780;199,8;780;200;780;378,5
781;195,5;781;200;781;400,6
782;197,4;782;200;782;391,6
783;202,1;783;200;783;367,8
784;203,7;784;200;784;359,4
785;201,6;785;200;785;369,9
786;203,3;786;200;786;361,1
787;199,6;787;200;787;379,5
788;201,5;788;200;788;369,9
789;194,4;789;200;789;406,1
790;204,6;790;200;790;354,2
791;199,4;791;200;791;380,7
792;199,3;792;200;792;381,2
793;202,9;793;200;793;362,7
794;209,2;794;200;794;330,3
795;195,8;795;200;795;397,9
796;197,6;796;200;796;389,2
797;199,9;797;200;797;377,5
798;205,2;798;200;798;350,3
799;196,3;799;200;799;395,6
800;202,8;800;200;800;362,6
801;197,3;801;200;801;390,3
802;202,4;802;200;802;364,5
803;195,4;803;200;803;400,2
804;198,5;804;200;804;384,9
805;202,1;805;200;805;366,5
806;197,4;806;200;806;390,4
807;198,2;807;200;807;386,5
808;193,5;808;200;808;410,4
809;198;809;200;809;388
810;202,7;810;200;810;364,6
811;206;811;200;811;347,5
812;205,6;812;200;812;348,9
813;204,1;813;200;813;356,2
814;198,4;814;200;814;384,8
815;197,2;815;200;815;391
816;197,2;816;200;816;391,3
817;200,2;817;200;817;376,3
818;200,8;818;200;818;373,3
819;199,6;819;200;819;379,3
820;199,9;820;200;820;377,5
821;200,9;821;200;821;372,6
822;200,2;822;200;822;376,2
823;205,2;823;200;823;350,7
824;201;824;200;824;371,5
825;198,2;825;200;825;385,5
826;198,4;826;200;826;384,8
827;202,7;827;200;827;363,1
828;201,7;828;200;828;367,6
829;189,3;829;200;829;430,9
830;198,6;830;200;830;384,3
831;199,6;831;200;831;379,4
832;201,3;832;200;832;371
833;200,7;833;200;833;374
834;192,3;834;200;834;416,8
835;199,8;835;200;835;379,1
836;198,2;836;200;836;387,2
837;197,9;837;200;837;388,9
838;205,3;838;200;838;351,3
839;194;839;200;839;408,7
840;202,4;840;200;840;366,4
841;193,5;841;200;841;411,3
842;196,5;842;200;842;397
843;198,7;843;200;843;386
844;197,6;844;200;844;391,8
845;196,7;845;200;845;396,5
846;204,1;846;200;846;359,2
847;201,6;847;200;847;371,4
848;203,5;848;200;848;361,8
849;201,2;849;200;849;372,9
850;203,2;850;200;850;362,9
851;197,6;851;200;851;390,8
852;203,2;852;200;852;362,4
853;201,6;853;200;853;370,5
854;208,1;854;200;854;337
855;201,3;855;200;855;370,8
856;199,6;856;200;856;379,6
857;206,8;857;200;857;342,8
858;204,1;858;200;858;355,8
